Finished setup, waiting to start
UPLoading
1.10 1.20 3.00 1.20 5.00 2.00 4.00 0.00 
0 5000 10000 15000 20000 25000 30000 35000 
0 x:0.07 y:0.22 z:1.07 acc:1.10 inst:0.00 dt:0 timee:0 pComp:-0.33 iComp:0.00 dComp:inf PID:0.00
4 x:0.07 y:0.22 z:1.07 acc:1.10 inst:1.10 dt:4 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.28 PID:0.28
11 x:0.07 y:0.22 z:1.07 acc:1.10 inst:1.10 dt:7 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
20 x:0.09 y:0.21 z:1.07 acc:1.09 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
28 x:0.09 y:0.21 z:1.07 acc:1.09 inst:1.10 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
38 x:0.09 y:0.21 z:1.07 acc:1.09 inst:1.10 dt:10 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
47 x:0.10 y:0.19 z:1.06 acc:1.08 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
55 x:0.10 y:0.19 z:1.06 acc:1.08 inst:1.10 dt:8 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
63 x:0.10 y:0.19 z:1.06 acc:1.08 inst:1.10 dt:8 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
72 x:0.10 y:0.18 z:1.05 acc:1.07 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
82 x:0.10 y:0.18 z:1.05 acc:1.07 inst:1.10 dt:10 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
90 x:0.05 y:0.24 z:1.10 acc:1.13 inst:1.10 dt:8 timee:5000 pComp:-0.01 iComp:-0.00 dComp:-0.01 PID:0.00
99 x:0.05 y:0.24 z:1.10 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
108 x:0.05 y:0.24 z:1.10 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
117 x:0.08 y:0.21 z:1.10 acc:1.12 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
126 x:0.08 y:0.21 z:1.10 acc:1.12 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
135 x:0.08 y:0.21 z:1.10 acc:1.12 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
144 x:0.09 y:0.18 z:1.08 acc:1.10 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
152 x:0.09 y:0.18 z:1.08 acc:1.10 inst:1.10 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
162 x:0.08 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:10 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
170 x:0.08 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:8 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
179 x:0.08 y:0.20 z:1.06 acc:1.08 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
188 x:0.07 y:0.22 z:1.07 acc:1.09 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:-0.00 PID:0.00
196 x:0.07 y:0.22 z:1.07 acc:1.09 inst:1.10 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
206 x:0.07 y:0.22 z:1.07 acc:1.09 inst:1.10 dt:10 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
215 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:-0.00 PID:0.00
223 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.10 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
232 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
241 x:0.09 y:0.20 z:1.07 acc:1.09 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
250 x:0.09 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
