Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt5000
csdt10000
csdt15000
csdt20000
csdt25000
csdt30000
1.10 1.20 3.00 1.20 5.00 2.00 4.00 0.00 
0 5000 10000 15000 20000 25000 30000 35000 
0 x:0.07 y:0.17 z:1.06 acc:1.07 inst:0.00 dt:0 timee:0 pComp:-0.32 iComp:0.00 dComp:inf PID:0.00
4 x:0.07 y:0.17 z:1.06 acc:1.07 inst:1.10 dt:4 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.28 PID:0.28
13 x:0.07 y:0.17 z:1.06 acc:1.07 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
21 x:0.07 y:0.16 z:1.06 acc:1.07 inst:1.10 dt:8 timee:5000 
38 x:0.07 y:0.16 z:1.06 acc:1.07 inst:1.10 dt:8 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 P0.07 y:0.16 z:1.06 acc:1.07 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
30 x:ID:0.01
47 x:0.08 y:0.19 z:1.04 acc:1.06 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
56 x:0.08 y:0.19 z:1.04 acc:1.06 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
65 x:0.08 y:0.19 z:1.04 acc:1.06 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
74 x:0.08 y:0.18 z:1.06 acc:1.08 inst:1.10 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
82 x:0.08 y:0.18 z:1.06 acc:1.08 inst:1.10 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
91 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
100 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
109 x:0.09 y:0.19 z:1.08 acc:1.10 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
117 x:0.08 y:0.20 z:1.11 acc:1.13 inst:1.10 dt:8 timee:5000 pComp:-0.01 iComp:0.00 dComp:-0.00 PID:0.00
126 x:0.08 y:0.20 z:1.11 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
135 x:0.08 y:0.20 z:1.11 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
144 x:0.07 y:0.22 z:1.10 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
153 x:0.07 y:0.22 z:1.10 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
162 x:0.07 y:0.22 z:1.10 acc:1.13 inst:1.10 dt:9 timee:5000 pComp:-0.01 iComp:-0.00 dComp:0.00 PID:0.00
171 x:0.07 y:0.17 z:1.10 acc:1.12 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
179 x:0.07 y:0.17 z:1.10 acc:1.12 inst:1.10 dt:8 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
189 x:0.07 y:0.17 z:1.10 acc:1.12 inst:1.10 dt:10 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
198 x:0.07 y:0.16 z:1.10 acc:1.11 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
206 x:0.07 y:0.16 z:1.10 acc:1.11 inst:1.10 dt:8 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
215 x:0.08 y:0.20 z:1.09 acc:1.11 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
225 x:0.08 y:0.20 z:1.09 acc:1.11 inst:1.10 dt:10 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
234 x:0.08 y:0.20 z:1.09 acc:1.11 inst:1.10 dt:9 timee:5000 pComp:-0.00 iComp:-0.00 dComp:0.00 PID:0.00
243 x:0.03 y:0.22 z:1.07 acc:1.09 inst:1.10 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
251 x:0.03 y:0.22 z:1.07 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
260 x:0.03 y:0.22 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
269 x:0.03 y:0.20 z:1.08 acc:1.10 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:-0.00 PID:0.00
278 x:0.03 y:0.20 z:1.08 acc:1.10 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
287 x:0.03 y:0.20 z:1.08 acc:1.10 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
295 x:0.06 y:0.19 z:1.08 acc:1.10 inst:1.11 dt:8 timee:5000 pComp:0.00 iComp:-0.00 dComp:-0.00 PID:0.00
304 x:0.06 y:0.19 z:1.08 acc:1.10 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:-0.00 dComp:0.00 PID:0.00
314 x:0.06 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:10 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
322 x:0.06 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
331 x:0.06 y:0.20 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
340 x:0.04 y:0.21 z:1.05 acc:1.07 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:-0.00 dComp:0.00 PID:0.01
348 x:0.04 y:0.21 z:1.05 acc:1.07 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
358 x:0.04 y:0.21 z:1.05 acc:1.07 inst:1.11 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
367 x:0.06 y:0.18 z:1.06 acc:1.08 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
375 x:0.06 y:0.18 z:1.06 acc:1.08 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
384 x:0.06 y:0.18 z:1.06 acc:1.08 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
392 x:0.06 y:0.18 z:1.08 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
402 x:0.06 y:0.18 z:1.08 acc:1.09 inst:1.11 dt:10 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
411 x:0.06 y:0.20 z:1.06 acc:1.08 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
419 x:0.06 y:0.20 z:1.06 acc:1.08 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
427 x:0.06 y:0.20 z:1.06 acc:1.08 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
436 x:0.04 y:0.22 z:1.05 acc:1.07 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
446 x:0.04 y:0.22 z:1.05 acc:1.07 inst:1.11 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
454 x:0.04 y:0.22 z:1.05 acc:1.07 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
463 x:0.09 y:0.20 z:1.10 acc:1.12 inst:1.11 dt:9 timee:5000 pComp:-0.00 iComp:0.00 dComp:-0.01 PID:0.00
471 x:0.09 y:0.20 z:1.10 acc:1.12 inst:1.11 dt:8 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
481 x:0.09 y:0.20 z:1.10 acc:1.12 inst:1.11 dt:10 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
490 x:0.11 y:0.21 z:1.12 acc:1.15 inst:1.11 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:-0.00 PID:0.00
499 x:0.11 y:0.21 z:1.12 acc:1.15 inst:1.11 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
507 x:0.11 y:0.21 z:1.12 acc:1.15 inst:1.11 dt:8 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
516 x:0.08 y:0.20 z:1.10 acc:1.12 inst:1.11 dt:9 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
525 x:0.08 y:0.20 z:1.10 acc:1.12 inst:1.11 dt:9 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
534 x:0.06 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
543 x:0.06 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
551 x:0.06 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
560 x:0.04 y:0.19 z:1.05 acc:1.07 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
569 x:0.04 y:0.19 z:1.05 acc:1.07 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
578 x:0.04 y:0.19 z:1.05 acc:1.07 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
587 x:0.07 y:0.20 z:1.10 acc:1.12 inst:1.11 dt:9 timee:5000 pComp:-0.00 iComp:0.00 dComp:-0.01 PID:0.00
595 x:0.07 y:0.20 z:1.10 acc:1.12 inst:1.11 dt:8 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
604 x:0.07 y:0.20 z:1.10 acc:1.12 inst:1.11 dt:9 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
614 x:0.06 y:0.21 z:1.09 acc:1.11 inst:1.11 dt:10 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
622 x:0.06 y:0.21 z:1.09 acc:1.11 inst:1.11 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
631 x:0.05 y:0.22 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
639 x:0.05 y:0.22 z:1.07 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
648 x:0.05 y:0.22 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
657 x:0.05 y:0.22 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
666 x:0.06 y:0.21 z:1.05 acc:1.07 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
674 x:0.06 y:0.21 z:1.05 acc:1.07 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
683 x:0.05 y:0.19 z:1.08 acc:1.10 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
691 x:0.05 y:0.19 z:1.08 acc:1.10 inst:1.11 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
701 x:0.05 y:0.19 z:1.08 acc:1.10 inst:1.11 dt:10 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
710 x:0.05 y:0.20 z:1.09 acc:1.11 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
718 x:0.05 y:0.20 z:1.09 acc:1.11 inst:1.11 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PI0.00 PID:0.00
737 x:0.05 y:0.19 z:1.07 acc:1.09D:0.00
727 x:0.05 y:0.20 z:1.09 acc:1.11 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp: inst:1.11 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
745 x:0.05 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
754 x:0.05 y:0.19 z:1.07 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
762 x:0.06 y:0.18 z:1.06 acc:1.08 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
771 x:0.06 y:0.18 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
780 x:0.06 y:0.18 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
789 x:0.07 y:0.17 z:1.07 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
797 x:0.07 y:0.17 z:1.07 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
806 x:0.07 y:0.19 z:1.09 acc:1.11 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
815 x:0.07 y:0.19 z:1.09 acc:1.11 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
824 x:0.07 y:0.19 z:1.09 acc:1.11 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
833 x:0.06 y:0.20 z:1.07 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
841 x:0.06 y:0.20 z:1.07 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
850 x:0.06 y:0.20 z:1.07 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
858 x:0.05 y:0.22 z:1.05 acc:1.07 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
868 x:0.05 y:0.22 z:1.05 acc:1.07 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
876 x:0.05 y:0.22 z:1.05 acc:1.07 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
885 x:0.04 y:0.22 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
894 x:0.04 y:0.22 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
902 x:0.05 y:0.21 z:1.09 acc:1.11 inst:1.12 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
912 x:0.05 y:0.21 z:1.09 acc:1.11 inst:1.12 dt:10 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
920 x:0.05 y:0.21 z:1.09 acc:1.11 inst:1.12 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
929 x:0.07 y:0.21 z:1.10 acc:1.12 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
938 x:0.07 y:0.21 z:1.10 acc:1.12 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
946 x:0.07 y:0.21 z:1.10 acc:1.12 inst:1.12 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
956 x:0.07 y:0.23 z:1.08 acc:1.11 inst:1.12 dt:10 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
964 x:0.07 y:0.23 z:1.08 acc:1.11 inst:1.12 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
973 x:0.07 y:0.23 z:1.08 acc:1.11 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
982 x:0.07 y:0.23 z:1.07 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
990 x:0.07 y:0.23 z:1.07 acc:1.10 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1000 x:0.08 y:0.22 z:1.08 acc:1.10 inst:1.12 dt:10 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.01
1008 x:0.08 y:0.22 z:1.08 acc:1.10 inst:1.12 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
1017 x:0.08 y:0.22 z:1.08 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
1026 x:0.12 y:0.24 z:1.12 acc:1.15 inst:1.12 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:-0.00 PID:0.00
1034 x:0.12 y:0.24 z:1.12 acc:1.15 inst:1.12 dt:8 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
1044 x:0.12 y:0.24 z:1.12 acc:1.15 inst:1.12 dt:10 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
1053 x:0.10 y:0.23 z:1.07 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.01 PID:0.01
1062 x:0.10 y:0.23 z:1.07 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1070 x:0.10 y:0.23 z:1.07 acc:1.10 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1080 x:0.07 y:0.21 z:1.06 acc:1.08 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1089 x:0.07 y:0.21 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1097 x:0.07 y:0.21 z:1.07 acc:1.10 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
1106 x:0.07 y:0.21 z:1.07 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
