Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt2000
0.00 1.56 100000000.00 0.00 
0 2000 7000 0 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt2000
csdt10000000
0.00 1.56 1.56 0.00 
0 2000 10000000 10005000 
0 x:0.09 y:0.21 z:1.05 acc:1.07 inst:0.00 dt:0 timee:0 pComp:-0.32 iComp:0.00 dComp:inf PID:0.00
4 x:0.09 y:0.21 z:1.05 acc:1.07 inst:0.00 dt:4 timee:2000 pComp:-0.32 iComp:-0.00 dComp:0.00 PID:0.00
12 x:0.09 y:0.21 z:1.05 acc:1.07 inst:0.01 dt:8 timee:2000 pComp:-0.32 iComp:-0.00 dComp:0.00 PID:0.00
21 x:0.09 y:0.21 z:1.05 acc31 iComp:-0.01 dComp:0.00 PID:0.00
39 x:0.08 y:0.21 z:1.05 acc:1.07 inst:0.03 dt:9 timee:2000 pComp:-0.31 iComp:-0.01 dComp:0.00 PID:0.00
47 x::1.07 inst:0.02 dt:9 timee:2000 pComp:-0.32 iComp:-0.01 dComp:0.00 PID:0.00
30 x:0.08 y:0.21 z:1.05 acc:1.07 inst:0.02 dt:9 timee:2000 pComp:-0.0.08 y:0.21 z:1.05 acc:1.07 inst:0.04 dt:8 timee:2000 pComp:-0.31 iComp:-0.01 dComp:0.00 PID:0.00
56 x:0.08 y:0.21 z:1.06 acc:1.08 inst:0.04 dt:9 timee:2000 pComp:-0.31 iComp:-0.02 dComp:-0.00 PID:0.00
66 x:0.08 y:0.21 z:1.06 acc:1.08 inst:0.05 dt:10 timee:2000 pComp:-0.31 iComp:-0.02 dComp:0.00 PID:0.00
75 x:0.09 y:0.20 z:1.07 acc:1.10 inst:0.06 dt:9 timee:2000 pComp:-0.31 iComp:-0.02 dComp:-0.00 PID:0.00
83 x:0.09 y:0.20 z:1.07 acc:1.10 inst:0.06 dt:8 timee:2000 pComp:-0.31 iComp:-0.03 dComp:0.00 PID:0.00
92 x:0.09 y:0.20 z:1.07 acc:1.10 inst:0.07 dt:9 timee:2000 pComp:-0.31 iComp:-0.03 dComp:0.00 PID:0.00
101 x:0.09 y:0.21 z:1.08 acc:1.10 inst:0.08 dt:9 timee:2000 pComp:-0.31 iComp:-0.03 dComp:-0.00 PID:0.00
110 x:0.09 y:0.21 z:1.08 acc:1.10 inst:0.09 dt:9 timee:2000 pComp:-0.31 iComp:-0.03 dComp:0.00 PID:0.00
119 x:0.09 y:0.21 z:1.08 acc:1.10 inst:0.09 dt:9 timee:2000 pComp:-0.30 iComp:-0.04 dComp:0.00 PID:0.00
128 x:0.10 y:0.16 z:1.11 acc:1.13 inst:0.10 dt:9 timee:2000 pComp:-0.31 iComp:-0.04 dComp:-0.00 PID:0.00
136 x:0.10 y:0.16 z:1.11 acc:1.13 inst:0.11 dt:8 timee:2000 pComp:-0.31 iComp:-0.04 dComp:0.00 PID:0.00
145 x:0.09 y:0.18 z:1.09 acc:1.11 inst:0.11 dt:9 timee:2000 pComp:-0.30 iComp:-0.05 dComp:0.00 PID:0.00
155 x:0.09 y:0.18 z:1.09 acc:1.11 inst:0.12 dt:10 timee:2000 pComp:-0.30 iComp:-0.05 dComp:0.00 PID:0.00
164 x:0.09 y:0.18 z:1.09 acc:1.11 inst:0.13 dt:9 timee:2000 pComp:-0.29 iComp:-0.05 dComp:0.00 PID:0.00
173 x:0.09 y:0.18 z:1.08 acc:1.10 inst:0.13 dt:9 timee:2000 pComp:-0.29 iComp:-0.05 dComp:0.00 PID:0.00
181 x:0.09 y:0.18 z:1.08 acc:1.10 inst:0.14 dt:8 timee:2000 pComp:-0.29 iComp:-0.06 dComp:0.00 PID:0.00
190 x:0.09 y:0.18 z:1.08 acc:1.10 inst:0.15 dt:9 timee:2000 pComp:-0.28 iComp:-0.06 dComp:0.00 PID:0.00
200 x:0.09 y:0.20 z:1.08 acc:1.10 inst:0.16 dt:10 timee:2000 pComp:-0.28 iComp:-0.06 dComp:0.00 PID:0.00
208 x:0.09 y:0.20 z:1.08 acc:1.10 inst:0.16 dt:8 timee:2000 pComp:-0.28 iComp:-0.06 dComp:0.00 PID:0.00
217 x:0.09 y:0.20 z:1.08 acc:1.10 inst:0.17 dt:9 timee:2000 pComp:-0.28 iComp:-0.07 dComp:0.00 PID:0.00
226 x:0.07 y:0.17 z:1.06 acc:1.07 inst:0.18 dt:9 timee:2000 pComp:-0.27 iComp:-0.07 dComp:0.00 PID:0.00
235 x:0.07 y:0.17 z:1.06 acc:1.07 inst:0.18 dt:9 timee:2000 pComp:-0.27 iComp:-0.07 dComp:0.00 PID:0.00
244 x:0.07 y:0.17 z:1.06 acc:1.07 inst:0.19 dt:9 timee:2000 pComp:-0.27 iComp:-0.07 dComp:0.00 PID:0.00
253 x:0.08 y:0.18 z:1.03 acc:1.05 inst:0.20 dt:9 timee:2000 pComp:-0.26 iComp:-0.08 dComp:0.00 PID:0.00
262 x:0.08 y:0.18 z:1.03 acc:1.05 inst:0.20 dt:9 timee:2000 pComp:-0.25 iComp:-0.08 dComp:0.00 PID:0.00
271 x:0.10 y:0.21 z:1.03 acc:1.06 inst:0.21 dt:9 timee:2000 pComp:-0.25 iComp:-0.08 dComp:-0.00 PID:0.00
280 x:0.10 y:0.21 z:1.03 acc:1.06 inst:0.22 dt:9 timee:2000 pComp:-0.25 iComp:-0.08 dComp:0.00 PID:0.00
289 x:0.10 y:0.21 z:1.03 acc:1.06 inst:0.23 dt:9 timee:2000 pComp:-0.25 iComp:-0.08 dComp:0.00 PID:0.00
298 x:0.10 y:0.21 z:1.06 acc:1.09 inst:0.23 dt:9 timee:2000 pComp:-0.26 iComp:-0.09 dComp:-0.00 PID:0.00
306 x:0.10 y:0.21 z:1.06 acc:1.09 inst:0.24 dt:8 timee:2000 pComp:-0.26 iComp:-0.09 dComp:0.00 PID:0.00
315 x:0.10 y:0.21 z:1.06 acc:1.09 inst:0.25 dt:9 timee:2000 pComp:-0.25 iComp:-0.09 dComp:0.00 PID:0.00
325 x:0.11 y:0.23 z:1.08 acc:1.11 inst:0.25 dt:10 timee:2000 pComp:-0.26 iComp:-0.09 dComp:-0.00 PID:0.00
334 x:0.11 y:0.23 z:1.08 acc:1.11 inst:0.26 dt:9 timee:2000 pComp:-0.25 iComp:-0.10 dComp:0.00 PID:0.00
343 x:0.12 y:0.24 z:1.08 acc:1.11 inst:0.27 dt:9 timee:2000 pComp:-0.25 iComp:-0.10 dComp:0.00 PID:0.00
351 x:0.12 y:0.24 z:1.08 acc:1.11 inst:0.27 dt:8 timee:2000 pComp:-0.25 iComp:-0.10 dComp:0.00 PID:0.00
360 x:0.12 y:0.24 z:1.08 acc:1.11 inst:0.28 dt:9 timee:2000 pComp:-0.25 iComp:-0.10 dComp:0.00 PID:0.00
370 x:0.09 y:0.21 z:1.07 acc:1.10 inst:0.29 dt:10 timee:2000 pComp:-0.24 iComp:-0.10 dComp:0.00 PID:0.00
378 x:0.09 y:0.21 z:1.07 acc:1.10 inst:0.29 dt:8 timee:2000 pComp:-0.24 iComp:-0.11 dComp:0.00 PID:0.00
387 x:0.09 y:0.21 z:1.07 acc:1.10 inst:0.30 dt:9 timee:2000 pComp:-0.24 iComp:-0.11 dComp:0.00 PID:0.00
396 x:0.10 y:0.21 z:1.06 acc:1.08 inst:0.31 dt:9 timee:2000 pComp:-0.23 iComp:-0.11 dComp:0.00 PID:0.00
405 x:0.10 y:0.21 z:1.06 acc:1.08 inst:0.32 dt:9 timee:2000 pComp:-0.23 iComp:-0.11 dComp:0.00 PID:0.00
414 x:0.10 y:0.21 z:1.06 acc:1.08 inst:0.32 dt:9 timee:2000 pComp:-0.23 iComp:-0.12 dComp:0.00 PID:0.00
423 x:0.10 y:0.23 z:1.07 acc:1.10 inst:0.33 dt:9 timee:2000 pComp:-0.23 iComp:-0.12 dComp:-0.00 PID:0.00
432 x:0.10 y:0.23 z:1.07 acc:1.10 inst:0.34 dt:9 timee:2000 pComp:-0.23 iComp:-0.12 dComp:0.00 PID:0.00
441 x:0.10 y:0.11 z:1.09 acc:1.10 inst:0.34 dt:9 timee:2000 pComp:-0.23 iComp:-0.12 dComp:0.00 PID:0.00
450 x:0.10 y:0.11 z:1.09 acc:1.10 inst:0.35 dt:9 timee:2000 pComp:-0.23 iComp:-0.12 dComp:0.00 PID:0.00
459 x:0.10 y:0.11 z:1.09 acc:1.10 inst:0.36 dt:9 timee:2000 pComp:-0.22 iComp:-0.13 dComp:0.00 PID:0.00
468 x:0.12 y:-0.05 z:1.18 acc:1.19 inst:0.37 dt:9 timee:2000 pComp:-0.25 iComp:-0.13 dComp:-0.01 PID:0.00
476 x:0.12 y:-0.05 z:1.18 acc:1.19 inst:0.37 dt:8 timee:2000 pComp:-0.25 iComp:-0.13 dComp:0.00 PID:0.00
485 x:0.12 y:-0.05 z:1.18 acc:1.19 inst:0.38 dt:9 timee:2000 pComp:-0.24 iComp:-0.13 dComp:0.00 PID:0.00
495 x:0.12 y:-0.08 z:1.24 acc:1.25 inst:0.39 dt:10 timee:2000 pComp:-0.26 iComp:-0.13 dComp:-0.01 PID:0.00
504 x:0.12 y:-0.08 z:1.24 acc:1.25 inst:0.39 dt:9 timee:2000 pComp:-0.26 iComp:-0.14 dComp:0.00 PID:0.00
513 x:0.12 y:-0.08 z:1.24 acc:1.25 inst:0.40 dt:9 timee:2000 pComp:-0.25 iComp:-0.14 dComp:0.00 PID:0.00
522 x:0.13 y:-0.14 z:1.20 acc:1.21 inst:0.41 dt:9 timee:2000 pComp:-0.24 iComp:-0.14 dComp:0.01 PID:0.00
530 x:0.13 y:-0.14 z:1.20 acc:1.21 inst:0.41 dt:8 timee:2000 pComp:-0.24 iComp:-0.14 dComp:0.00 PID:0.00
540 x:0.10 y:-0.23 z:1.16 acc:1.18 inst:0.42 dt:10 timee:2000 pComp:-0.23 iComp:-0.15 dComp:0.00 PID:0.00
549 x:0.10 y:-0.23 z:1.16 acc:1.18 inst:0.43 dt:9 timee:2000 pComp:-0.23 iComp:-0.15 dComp:0.00 PID:0.00
558 x:0.10 y:-0.23 z:1.16 acc:1.18 inst:0.44 dt:9 timee:2000 pComp:-0.22 iComp:-0.15 dComp:0.00 PID:0.00
567 x:0.10 y:-0.28 z:1.15 acc:1.18 inst:0.44 dt:9 timee:2000 pComp:-0.22 iComp:-0.15 dComp:0.00 PID:0.00
577 x:0.10 y:-0.28 z:1.15 acc:1.18 inst:0.45 dt:10 timee:2000 pComp:-0.22 iComp:-0.15 dComp:0.00 PID:0.00
585 x:0.10 y:-0.28 z:1.15 acc:1.18 inst:0.46 dt:8 timee:2000 pComp:-0.22 iComp:-0.16 dComp:0.00 PID:0.00
594 x:0.11 y:-0.28 z:1.13 acc:1.16 inst:0.46 dt:9 timee:2000 pComp:-0.21 iComp:-0.16 dComp:0.00 PID:0.00
603 x:0.11 y:-0.28 z:1.13 acc:1.16 inst:0.47 dt:9 timee:2000 pComp:-0.21 iComp:-0.16 dComp:0.00 PID:0.00
612 x:0.11 y:-0.28 z:1.13 acc:1.16 inst:0.48 dt:9 timee:2000 pComp:-0.21 iComp:-0.16 dComp:0.00 PID:0.00
622 x:0.08 y:-0.25 z:1.09 acc:1.12 inst:0.49 dt:10 timee:2000 pComp:-0.19 iComp:-0.16 dComp:0.00 PID:0.00
630 x:0.08 y:-0.25 z:1.09 acc:1.12 inst:0.49 dt:8 timee:2000 pComp:-0.19 iComp:-0.16 dComp:0.00 PID:0.00
639 x:0.12 y:-0.25 z:1.17 acc:1.20 inst:0.50 dt:9 timee:2000 pComp:-0.21 iComp:-0.17 dComp:-0.01 PID:0.00
648 x:0.12 y:-0.25 z:1.17 acc:1.20 inst:0.51 dt:9 timee:2000 pComp:-0.21 iComp:-0.17 dComp:0.00 PID:0.00
657 x:0.12 y:-0.25 z:1.17 acc:1.20 inst:0.51 dt:9 timee:2000 pComp:-0.21 iComp:-0.17 dComp:0.00 PID:0.00
667 x:0.09 y:-0.21 z:1.20 acc:1.22 inst:0.52 dt:10 timee:2000 pComp:-0.21 iComp:-0.17 dComp:-0.00 PID:0.00
676 x:0.09 y:-0.21 z:1.20 acc:1.22 inst:0.53 dt:9 timee:2000 pComp:-0.21 iComp:-0.17 dComp:0.00 PID:0.00
685 x:0.09 y:-0.21 z:1.20 acc:1.22 inst:0.53 dt:9 timee:2000 pComp:-0.21 iComp:-0.18 dComp:0.00 PID:0.00
693 x:0.05 y:-0.16 z:1.23 acc:1.25 inst:0.54 dt:8 timee:2000 pComp:-0.21 iComp:-0.18 dComp:-0.00 PID:0.00
702 x:0.05 y:-0.16 z:1.23 acc:1.25 inst:0.55 dt:9 timee:2000 pComp:-0.21 iComp:-0.18 dComp:0.00 PID:0.00
712 x:0.05 y:-0.23 z:1.10 acc:1.12 inst:0.56 dt:10 timee:2000 pComp:-0.17 iComp:-0.18 dComp:0.01 PID:0.00
721 x:0.05 y:-0.23 z:1.10 acc:1.12 inst:0.56 dt:9 timee:2000 pComp:-0.17 iComp:-0.18 dComp:0.00 PID:0.00
730 x:0.05 y:-0.23 z:1.10 acc:1.12 inst:0.57 dt:9 timee:2000 pComp:-0.17 iComp:-0.18 dComp:0.00 PID:0.00
739 x:0.09 y:-0.29 z:1.06 acc:1.11 inst:0.58 dt:9 timee:2000 pComp:-0.16 iComp:-0.19 dComp:0.00 PID:0.00
748 x:0.09 y:-0.29 z:1.06 acc:1.11 inst:0.58 dt:9 timee:2000 pComp:-0.16 iComp:-0.19 dComp:0.00 PID:0.00
