Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 
0 1000 4000 10000 12000 17000 0 
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 17000 0 1000 4000 10000 12000 15000 20000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
0 x:0.09 y:0.18 z:1.07 acc:1.08 inst:0.00 dt:0 timee:0 pComp:-0.33 iComp:0.00 dComp:inf FF:0.00 PID:0.00
4 x:0.08 y:0.19 z:1.06 acc:1.08 inst:0.02 dt:4 timee:1000 pComp:-0.32 iComp:-0.00 dComp:0.00 FF:nan PID:nan
13 x:0.08 y:0.19 z:1.06 acc:1.08 inst:0.05 dt:9 timee:1000 pComp:-0.31 iComp:-0.00 dComp:0.00 FF:nan PID:nan
22 x:0.08 y:0.19 z:1.06 acc:1.08 inst:0.09 dt:9 timee:1000 pComp:-0.30 iComp:-0.01 dComp:0.00 FF:nan PID:nan
31 x:0.09 y:0.21 z:1.06 acc:1.09 inst:0.12 dt:9 timee:1000 pComp:-0.29 iComp:-0.01 dComp:0.00 FF:nan PID:nan
41 x:0.09 y:0.21 z:1.06 acc:1.09 inst:0.16 dt:10 timee:1000 pComp:-0.28 iComp:-0.01 dComp:0.00 FF:nan PID:nan
51 x:0.04 y:0.18 z:1.13 acc:1.15 inst:0.20 dt:10 timee:1000 pComp:-0.28 iComp:-0.02 dComp:-0.00 FF:nan PID:nan
60 x:0.04 y:0.18 z:1.13 acc:1.15 inst:0.24 dt:9 timee:1000 pComp:-0.27 iComp:-0.02 dComp:0.00 FF:nan PID:nan
69 x:0.04 y:0.18 z:1.13 acc:1.15 inst:0.28 dt:9 timee:1000 pComp:-0.26 iComp:-0.02 dComp:0.00 FF:nan PID:nan
78 x:0.06 y:0.20 z:1.10 acc:1.12 inst:0.31 dt:9 timee:1000 pComp:-0.24 iComp:-0.02 dComp:0.01 FF:nan PID:nan
88 x:0.06 y:0.20 z:1.10 acc:1.12 inst:0.35 dt:10 timee:1000 pComp:-0.23 iComp:-0.02 dComp:0.00 FF:nan PID:nan
97 x:0.06 y:0.20 z:1.10 acc:1.12 inst:0.39 dt:9 timee:1000 pComp:-0.22 iComp:-0.03 dComp:0.00 FF:nan PID:nan
107 x:0.09 y:0.21 z:1.10 acc:1.12 inst:0.43 dt:10 timee:1000 pComp:-0.21 iComp:-0.03 dComp:0.00 FF:nan PID:nan
116 x:0.09 y:0.21 z:1.10 acc:1.12 inst:0.46 dt:9 timee:1000 pComp:-0.20 iComp:-0.03 dComp:0.00 FF:nan PID:nan
126 x:0.09 y:0.20 z:1.07 acc:1.09 inst:0.50 dt:10 timee:1000 pComp:-0.18 iComp:-0.03 dComp:0.01 FF:nan PID:nan
135 x:0.09 y:0.20 z:1.07 acc:1.09 inst:0.54 dt:9 timee:1000 pComp:-0.17 iComp:-0.03 dComp:0.00 FF:nan PID:nan
145 x:0.09 y:0.20 z:1.07 acc:1.09 inst:0.58 dt:10 timee:1000 pComp:-0.15 iComp:-0.04 dComp:0.00 FF:nan PID:nan
154 x:0.15 y:0.18 z:1.10 acc:1.12 inst:0.62 dt:9 timee:1000 pComp:-0.15 iComp:-0.04 dComp:0.00 FF:nan PID:nan
163 x:0.15 y:0.18 z:1.10 acc:1.12 inst:0.65 dt:9 timee:1000 pComp:-0.14 iComp:-0.04 dComp:0.00 FF:nan PID:nan
174 x:0.18 y:0.18 z:1.10 acc:1.13 inst:0.70 dt:11 timee:1000 pComp:-0.13 iComp:-0.04 dComp:0.00 FF:nan PID:nan
183 x:0.18 y:0.18 z:1.10 acc:1.13 inst:0.73 dt:9 timee:1000 pComp:-0.12 iComp:-0.04 dComp:0.00 FF:nan PID:nan
192 x:0.18 y:0.18 z:1.10 acc:1.13 inst:0.77 dt:9 timee:1000 pComp:-0.11 iComp:-0.04 dComp:0.00 FF:nan PID:nan
201 x:0.14 y:0.19 z:1.08 acc:1.10 inst:0.80 dt:9 timee:1000 pComp:-0.09 iComp:-0.04 dComp:0.01 FF:nan PID:nan
211 x:0.14 y:0.19 z:1.08 acc:1.10 inst:0.84 dt:10 timee:1000 pComp:-0.08 iComp:-0.04 dComp:0.00 FF:nan PID:nan
221 x:0.12 y:0.18 z:1.07 acc:1.09 inst:0.88 dt:10 timee:1000 pComp:-0.06 iComp:-0.04 dComp:0.00 FF:nan PID:nan
