Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
0 x:0.09 y:0.18 z:1.04 acc:1.06 inst:0.00 dt:0 timee:0 pComp:-0.32 iComp:0.00 dComp:inf FF:0.00 PID:0.00
4 x:0.09 y:0.18 z:1.04 acc:1.06 inst:0.02 dt:4 timee:1000 pComp:-0.31 iComp:-0.00 dComp:0.00 FF:nan PID:0.00
12 x:0.09 y:0.18 z:1.04 acc:1.06 inst:0.05 dt:8 timee:1000 pComp:-0.30 iComp:-0.00 dComp:0.00 FF:nan PID:0.00
22 x:0.07 y:0.18 z:1.04 acc:1.06 inst:0.09 dt:10 timee:1000 pComp:-0.29 iComp:-0.01 dComp:0.00 FF:nan PID:0.00
32 x:0.07 y:0.18 z:1.04 acc:1.06 inst:0.13 dt:10 timee:1000 pComp:-0.28 iComp:-0.01 dComp:0.00 FF:nan PID:0.00
41 x:0.06 y:0.19 z:1.05 acc:1.07 inst:0.16 dt:9 timee:1000 pComp:-0.27 iComp:-0.01 dComp:0.00 FF:nan PID:0.00
50 x:0.06 y:0.19 z:1.05 acc:1.07 inst:0.20 dt:9 timee:1000 pComp:-0.26 iComp:-0.01 dComp:0.00 FF:nan PID:0.00
59 x:0.06 y:0.19 z:1.05 acc:1.07 inst:0.24 dt:9 timee:1000 pComp:-0.25 iComp:-0.02 dComp:0.00 FF:nan PID:0.00
69 x:0.06 y:0.18 z:1.05 acc:1.07 inst:0.28 dt:10 timee:1000 pComp:-0.24 iComp:-0.02 dComp:0.00 FF:nan PID:0.00
79 x:0.06 y:0.18 z:1.05 acc:1.07 inst:0.32 dt:10 timee:1000 pComp:-0.23 iComp:-0.02 dComp:0.00 FF:nan PID:0.00
88 x:0.06 y:0.17 z:1.05 acc:1.07 inst:0.35 dt:9 timee:1000 pComp:-0.22 iComp:-0.02 dComp:0.00 FF:nan PID:0.00
98 x:0.06 y:0.17 z:1.05 acc:1.07 inst:0.39 dt:10 timee:1000 pComp:-0.20 iComp:-0.03 dComp:0.00 FF:nan PID:0.00
107 x:0.06 y:0.17 z:1.05 acc:1.07 inst:0.43 dt:9 timee:1000 pComp:-0.19 iComp:-0.03 dComp:0.00 FF:nan PID:0.00
117 x:0.07 y:0.17 z:1.05 acc:1.07 inst:0.47 dt:10 timee:1000 pComp:-0.18 iComp:-0.03 dComp:0.00 FF:nan PID:0.00
126 x:0.07 y:0.17 z:1.05 acc:1.07 inst:0.50 dt:9 timee:1000 pComp:-0.17 iComp:-0.03 dComp:0.00 FF:nan PID:0.00
136 x:0.07 y:0.17 z:1.05 acc:1.07 inst:0.54 dt:10 timee:1000 pComp:-0.16 iComp:-0.03 dComp:0.00 FF:nan PID:0.00
145 x:0.07 y:0.18 z:1.04 acc:1.06 inst:0.58 dt:9 timee:1000 pComp:-0.14 iComp:-0.03 dComp:0.00 FF:nan PID:0.00
154 x:0.07 y:0.18 z:1.04 acc:1.06 inst:0.62 dt:9 timee:1000 pComp:-0.13 iComp:-0.04 dComp:0.00 FF:nan PID:0.00
165 x:0.07 y:0.19 z:1.04 acc:1.06 inst:0.66 dt:11 timee:1000 pComp:-0.12 iComp:-0.04 dComp:0.00 FF:nan PID:0.00
174 x:0.07 y:0.19 z:1.04 acc:1.06 inst:0.70 dt:9 timee:1000 pComp:-0.11 iComp:-0.04 dComp:0.00 FF:nan PID:0.00
183 x:0.07 y:0.19 z:1.04 acc:1.06 inst:0.73 dt:9 timee:1000 pComp:-0.10 iComp:-0.04 dComp:0.00 FF:nan PID:0.00
