Finished setup, waiting to start, PID: p:0 i(x100):0 d(x10):0
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
1.10 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
 x:0.00 p:0.00 dt:0.00 a:0.00 c1:0.00 c2:0.00 c3:5.23
 x:10.00 p:0.00 dt:0.00 a:0.00 c1:1.20 c2:1096622.62 c3:5.23
No roots in between range l[0.00] r[10.00] lF[5.23] rF[1096629.12] p[0.00] dt[0.00] a[0.00]
NO_BISECT[nan]0 x:0.08 y:0.22 z:1.07 acc:1.09 inst:0.00 dt:0 timee:0 pComp:0.00 iComp:0.00 dComp:nan FF:nan PID:nan
 x:nan p:nan dt:0.02 a:11.45 c1:nan c2:nan c3:-64.57
 x:nan p:nan dt:0.02 a:11.45 c1:nan c2:nan c3:-64.57
 x:nan p:nan dt:0.02 a:11.45 c1:nan c2:nan c3:-64.57
NO_BISECT[0.85]23 x:0.06 y:0.20 z:1.07 acc::37.07 p:2.83 dt:0.03 a:12.16 c1:227.07 c2:1754.:0.00 dComp:0.00 FF:0.85 PID:0.85
 x:27.07 p:2.83 dt:0.03 a:12.16 c1:64.57 c2:0.00 c3:-73.51
 x1.09 inst:1.17 dt:23 timee:1000 pComp:0.00 iComp60 c3:-73.51
 x:32.07 p:2.83 dt:0.03 a:12.16 c1:127.19 c2:438.65 c3:-73.51
 x:27.07 p:2.83 dt:0.03 a:12.16 c1:64.57 c2:0.00 c3:-73.51
 x:32.07 p:2.83 dt:0.03 a:12.16 c1:127.19 c2:438.65 c3:-73.51
 x:29.57 p:2.83 dt:0.03 a:12.16 c1:91.93 c2:109.66 c3:-73.51
 x:27.07 p:2.83 dt:0.03 a:12.16 c1:64.57 c2:0.00 c3:-73.51
 x:29.57 p:2.83 dt:0.03 a:12.16 c1:91.93 c2:109.66 c3:-73.51
 x:28.32 p:2.83 dt:0.03 a:12.16 c1:77.34 c2:27.42 c3:-73.51
 x:27.07 p:2.83 dt:0.03 a:12.16 c1:64.57 c2:0.00 c3:-73.51
 x:28.32 p:2.83 dt:0.03 a:12.16 c1:77.34 c2:27.42 c3:-73.51
 x:27.69 p:2.83 dt:0.03 a:12.16 c1:70.74 c2:6.85 c3:-73.51
 x:27.07 p:2.83 dt:0.03 a:12.16 c1:64.57 c2:0.00 c3:-73.51
 x:27.69 p:2.83 dt:0.03 a:12.16 c1:70.74 c2:6.85 c3:-73.51
 x:27.38 p:2.83 dt:0.03 a:12.16 c1:67.60 c2:1.71 c3:-73.51
 x:27.38 p:2.83 dt:0.03 a:12.16 c1:67.60 c2:1.71 c3:-73.51
 x:27.69 p:2.83 dt:0.03 a:12.16 c1:70.74 c2:6.85 c3:-73.51
 x:27.54 p:2.83 dt:0.03 a:12.16 c1:69.16 c2:3.86 c3:-73.51
 x:27.54 p:2.83 dt:0.03 a:12.16 c1:69.16 c2:3.86 c3:-73.51
 x:27.69 p:2.83 dt:0.03 a:12.16 c1:70.74 c2:6.85 c3:-73.51
 x:27.62 p:2.83 dt:0.03 a:12.16 c1:69.94 c2:5.25 c3:-73.51
 x:27.54 p:2.83 dt:0.03 a:12.16 c1:69.16 c2:3.86 c3:-73.51
 x:27.62 p:2.83 dt:0.03 a:12.16 c1:69.94 c2:5.25 c3:-73.51
 x:27.58 p:2.83 dt:0.03 a:12.16 c1:69.55 c2:4.52 c3:-73.51
 x:27.54 p:2.83 dt:0.03 a:12.16 c1:69.16 c2:3.86 c3:-73.51
 x:27.58 p:2.83 dt:0.03 a:12.16 c1:69.55 c2:4.52 c3:-73.51
 x:27.56 p:2.83 dt:0.03 a:12.16 c1:69.35 c2:4.18 c3:-73.51
 x:27.54 p:2.83 dt:0.03 a:12.16 c1:69.16 c2:3.86 c3:-73.51
 x:27.56 p:2.83 dt:0.03 a:12.16 c1:69.35 c2:4.18 c3:-73.51
 x:27.55 p:2.83 dt:0.03 a:12.16 c1:69.25 c2:4.02 c3:-73.51
 x:27.55 p:2.83 dt:0.03 a:12.16 c1:69.25 c2:4.02 c3:-73.51
 x:27.56 p:2.83 dt:0.03 a:12.16 c1:69.35 c2:4.18 c3:-73.51
==================27.55
48 x:0.06 y:0.19 z:1.06 acc:x:37.55 p:2.88 dt:0.18 a:17.16 c1:239.03 c2:35.40 c3:-151.73
 x:32.55 p:2.88 dt:0.18 a:17.16 c18 dt:0.18 a:17.16 c1:69.25 c2:0.00 c3:-151.73
 1.08 inst:1.24 dt:25 timee:1000 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.86 PID:0.86
 x:27.55 p:2.8:134.96 c2:8.85 c3:-151.73
 x:32.55 p:2.88 dt:0.18 a:17.16 c1:134.96 c2:8.85 c3:-151.73
 x:37.55 p:2.88 dt:0.18 a:17.16 c1:239.03 c2:35.40 c3:-151.73
 x:35.05 p:2.88 dt:0.18 a:17.16 c1:181.45 c2:19.91 c3:-151.73
 x:32.55 p:2.88 dt:0.18 a:17.16 c1:134.96 c2:8.85 c3:-151.73
 x:35.05 p:2.88 dt:0.18 a:17.16 c1:181.45 c2:19.91 c3:-151.73
 x:33.80 p:2.88 dt:0.18 a:17.16 c1:156.91 c2:13.83 c3:-151.73
 x:32.55 p:2.88 dt:0.18 a:17.16 c1:134.96 c2:8.85 c3:-151.73
