Finished setup, waiting to start, PID: p:0.02 i(x100):0.00 d(x10):1.00 iCap:10000
UPLoading
1.10 4.00 2.00 10.00 5.00 1.00 0.00 
0 1000 4000 10000 12000 15000 20000 
NO_BISECT[nan]0 acc:1.10 inst:0.00 dt:0 timee:0 pComp:-0.02 iComp:0.00 dComp:inf FF:nan PID:nanBRK_EN:DISMTR_EN:YESNO_BISECT[0.83]5 acc:1.10 inst:1.11 dt:5 timee:1000 pComp:0.00 iComp:-0.00 dComp:0.02 FF:0.83 PID:3.00BRK_EN:DISMTR_EN:YESNO_BISECT[0.84]16 acc:1.10 inst:1.15 dt:11 timee:1000 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.84 PID:1.11BRK_EN:DISMTR_EN:YESNO_BISECT[0.85]26 acc:1.10 inst:1.18 dt:10 timee:1000 pComp:0.00 iComp:-0.00 dC1.15BRK_EN:DISMTR_EN:YESNO_BISECT[0.87]47 acc:0.93 inst:1.24 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.87 PID:2.88BRK_EN:DISMTR_EN:YESNO_BISECT[0.88]58 acc:0.93 inst:1.27 dt:11 timISECT[0.86]37 acc:1.10 inst:1.21 dt:11 timee:100omp:0.00 FF:0.85 PID:1.14BRK_EN:DISMTR_EN:YESNO_B0 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.86 PID:ee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.88 PID:1.18BRK_EN:DISMTR_EN:YESNO_BISECT[0.90]69 acc:0.87 inst:1.30 dt:11 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.90 PID:1.74BRK_EN:DISMTR_EN:YESNO_BISECT[0.91]79 acc:0.87 inst:1.33 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.91 PID:1.21BRK_EN:DISMTR_EN:YESNO_BISECT[0.92]89 acc:1.54 inst:1.36 dt:10 timee:1000 pComp:-0.00 iComp:0.00 dComp:-0.01 FF:0.92 PID:0.00BRK_EN:DISMTR_EN:YES100 acc:1.54 inst:1.39 dt:11 timee:1000 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.03 PID:0.32BRK_EN:DISMTR_EN:YES109 acc:1.54 inst:1.42 dt:9 timee:1000 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.35 PID:0.63BRK_EN:DISMTR_EN:YES119 acc:1.81 inst:1.45 dt:10 timee:1000 pComp:-0.01 iComp:0.00 dComp:-0.00 FF:0.66 PID:0.00BRK_EN:DISMTR_EN:YES129 acc:1.81 inst:1.47 dt:10 timee:1000 pComp:-0.01 iComp:0.00 dComp:0.00 FF:0.03 PID:0.31BRK_EN:DISMTR_EN:YES139 acc:1.23 inst:1.50 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.01 FF:0.35 PID:3.00BRK_EN:DISMTR_EN:YESNO_BISECT[0.98]149 acc:1.23 inst:1.53 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.98 PID:1.27BRK_EN:DISMTR_EN:YESNO_BISECT[0.99]159 acc:1.23 inst:1.56 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.99 PID:1.28BRK_EN:DISMTR_EN:YESNO_BISECT[1.00]170 acc:1.30 inst:1.59 dt:11 timee:1000 pComp:0.01 iComp:0.00 dComp:-0.00 FF:1.00 PID:0.58BRK_EN:DISMTR_EN:YES181 acc:1.30 inst:1.62 dt:11 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.61 PID:0.91BRK_EN:DISMTR_EN:YES191 acc:1.76 inst:1.65 dt:10 timee:1000 pComp:-0.00 iComp:0.00 dComp:-0.00 FF:0.93 PID:0.00BRK_EN:DISMTR_EN:YES200 acc:1.76 inst:1.68 dt:9 timee:1000 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.03 PID:0.32BRK_EN:DISMTR_EN:YES210 acc:1.75 inst:1.71 dt:10 timee:1000 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.36 PID:0.73BRK_EN:DISMTR_EN:YES219 acc:1.75 inst:1.74 dt:9 timee:1000 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.76 PID:1.05BRK_EN:DISMTR_EN:YES230 acc:1.75 inst:1.77 dt:11 timee:1000 pComp:0.00 iComp:0.00 dComp:0.00 FF:1.05 PID:1.34BRK_EN:DISMTR_EN:YESNO_BISECT[1.06]240 acc:1.50 inst:1.80 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.06 PID:3.00BRK_EN:DISMTR_EN:YESNO_BISECT[1.07]250 acc:1.50 inst:1.83 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.07 PID:1.37BRK_EN:DISMTR_EN:YESNO_BISECT[1.08]260 acc:1.39 inst:1.85 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.08 PID:2.45BRK_EN:DISMTR_EN:YESNO_BISECT[1.09]271 acc:1.39 inst:1.89 dt:11 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.09 PID:1.39BRK_EN:DISMTR_EN:YESNO_BISECT[1.10]282 acc:1.39 inst:1.92 dt:11 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.10 PID:1.40BRK_EN:DISMTR_EN:YESNO_BISECT[1.11]292 acc:1.71 inst:1.95 dt:10 timee:1000 pComp:0.00 iComp:0.00 dComp:-0.00 FF:1.11 PID:0.00BRK_EN:DISMTR_EN:YES302 acc:1.71 inst:1.98 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.04 PID:0.34BRK_EN:DISMTR_EN:YES313 acc:1.66 inst:2.01 dt:11 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.38 PID:1.13BRK_EN:DISMTR_EN:YESNO_BISECT[1.13]322 acc:1.66 inst:2.03 dt:9 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.13 PID:1.43BRK_EN:DISMTR_EN:YESNO_BISECT[1.14]333 acc:1.58 inst:2.07 dt:11 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.14 PID:2.21BRK_EN:DISMTR_EN:YESNO_BISECT[1.15]343 acc:1.58 inst:2.09 dt:10 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.15 PID:1.45BRK_EN:DISMTR_EN:YESNO_BISECT[1.16]354 acc:1.58 inst:2.13 dt:11 timee:1000 pComp:0.01 iComp:0.00 dComp:0.00 FF:1.16 PID:1.46BRK_EN:DISMTR_EN:YESNO_BISECT[1.17]365 acc:1.22 inst:2.16 dt:11 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:1.17 PID:3.00BRK_EN:DISMTR_EN:YESNO_BISECT[1.17]375 acc:1.22 inst:2.19 dt:10 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:1.17 PID:1.48BRK_EN:DISMTR_EN:YESNO_BISECT[1.18]385 acc:1.28 inst:2.22 dt:10 timee:1000 pComp:0.02 iComp:0.00 dComp:-0.00 FF:1.18 PID:0.80BRK_EN:DISMTR_EN:YES396 acc:1.28 inst:2.25 dt:11 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:0.84 PID:1.15BRK_EN:DISMTR_EN:YES406 acc:1.23 inst:2.28 dt:10 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:1.17 PID:2.08BRK_EN:DISMTR_EN:YESNO_BISECT[1.21]415 acc:1.23 inst:2.30 dt:9 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:1.21 PID:1.52BRK_EN:DISMTR_EN:YESNO_BISECT[1.21]426 acc:1.23 inst:2.34 dt:11 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:1.21 PID:1.53BRK_EN:DISMTR_EN:YESNO_BISECT[1.22]437 acc:1.07 inst:2.37 dt:11 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.22 PID:2.93BRK_EN:DISMTR_EN:YESNO_BISECT[1.23]447 acc:1.07 inst:2.40 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.23 PID:1.55BRK_EN:DISMTR_EN:YESNO_BISECT[1.24]458 acc:1.18 inst:2.43 dt:11 timee:1000 pComp:0.02 iComp:0.00 dComp:-0.00 FF:1.24 PID:0.55BRK_EN:DISMTR_EN:YES468 acc:1.18 inst:2.46 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:0.61 PID:0.92BRK_EN:DISMTR_EN:YES479 acc:1.52 inst:2.49 dt:11 timee:1000 pComp:0.02 iComp:0.00 dComp:-0.00 FF:0.97 PID:0.00BRK_EN:DISMTR_EN:YES488 acc:1.52 inst:2.52 dt:9 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:0.05 PID:0.36BRK_EN:DISMTR_EN:YES497 acc:1.52 inst:2.54 dt:9 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:0.41 PID:0.72BRK_EN:DISMTR_EN:YES507 acc:1.66 inst:2.57 dt:10 timee:1000 pComp:0.02 iComp:0.00 dComp:-0.00 FF:0.77 PID:0.00BRK_EN:DISMTR_EN:YES516 acc:1.66 inst:2.60 dt:9 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:0.05 PID:0.36BRK_EN:DISMTR_EN:YES527 acc:1.64 inst:2.63 dt:11 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:0.42 PID:0.93BRK_EN:DISMTR_EN:YES536 acc:1.64 inst:2.65 dt:9 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:0.97 PID:1.28BRK_EN:DISMTR_EN:YES546 acc:1.64 inst:2.68 dt:10 timee:1000 pComp:0.02 iComp:0.00 dComp:0.00 FF:1.29 PID:1.60BRK_EN:DISMTR_EN:YESNO_BISECT[1.31]556 acc:1.33 inst:2.71 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.31 PID:3.00BRK_EN:DISMTR_EN:YESNO_BISECT[1.32]567 acc:1.33 inst:2.74 dt:11 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.32 PID:1.64BRK_EN:DISMTR_EN:YESNO_BISECT[1.33]577 acc:1.31 inst:2.77 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.33 PID:1.77BRK_EN:DISMTR_EN:YESNO_BISECT[1.33]587 acc:1.31 inst:2.80 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.33 PID:1.65BRK_EN:DISMTR_EN:YESNO_BISECT[1.34]598 acc:1.60 inst:2.83 dt:11 timee:1000 pComp:0.02 iComp:0.00 dComp:-0.00 FF:1.34 PID:0.00BRK_EN:DISMTR_EN:YES609 acc:1.60 inst:2.87 dt:11 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:0.07 PID:0.38BRK_EN:DISMTR_EN:YES618 acc:1.60 inst:2.89 dt:9 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:0.44 PID:0.75BRK_EN:DISMTR_EN:YES628 acc:1.64 inst:2.92 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:-0.00 FF:0.81 PID:0.73BRK_EN:DISMTR_EN:YES637 acc:1.64 inst:2.95 dt:9 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:0.78 PID:1.10BRK_EN:DISMTR_EN:YES648 acc:1.62 inst:2.98 dt:11 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.15 PID:1.64BRK_EN:DISMTR_EN:YESNO_BISECT[1.38]657 acc:1.62 inst:3.01 dt:9 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.38 PID:1.70BRK_EN:DISMTR_EN:YESNO_BISECT[1.39]668 acc:1.62 inst:3.04 dt:11 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.39 PID:1.71BRK_EN:DISMTR_EN:YESNO_BISECT[1.39]678 acc:1.35 inst:3.07 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.39 PID:3.00BRK_EN:DISMTR_EN:YESNO_BISECT[1.40]688 acc:1.35 inst:3.10 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:1.40 PID:1.73BRK_EN:DISMTR_EN:YESNO_BISECT[1.41]700 acc:1.54 inst:3.13 dt:12 timee:1000 pComp:0.03 iComp:0.00 dComp:-0.00 FF:1.41 PID:0.12BRK_EN:DISMTR_EN:YES710 acc:1.54 inst:3.16 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:0.19 PID:0.51BRK_EN:DISMTR_EN:YES719 acc:1.54 inst:3.19 dt:9 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:0.57 PID:0.90BRK_EN:DISMTR_EN:YES729 acc:1.92 inst:3.21 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:-0.00 FF:0.96 PID:0.00BRK_EN:DISMTR_EN:YES739 acc:1.92 inst:3.24 dt:10 timee:1000 pComp:0.03 iComp:0.00 dComp:0.00 FF:0.07 PID:0.39BRK_EN:DISMTR_EN:YES749 acc:1.46 inst:3.27 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:0.45 PID:3.00BRK_EN:DISMTR_EN:YESNO_BISECT[1.45]758 acc:1.46 inst:3.30 dt:9 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.45 PID:1.77BRK_EN:DISMTR_EN:YESNO_BISECT[1.45]769 acc:1.46 inst:3.33 dt:11 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.45 PID:1.78BRK_EN:DISMTR_EN:YESNO_BISECT[1.46]780 acc:1.34 inst:3.36 dt:11 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.46 PID:2.86BRK_EN:DISMTR_EN:YESNO_BISECT[1.47]790 acc:1.34 inst:3.39 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.47 PID:1.80BRK_EN:DISMTR_EN:YESNO_BISECT[1.47]801 acc:1.52 inst:3.42 dt:11 timee:1000 pComp:0.04 iComp:0.00 dComp:-0.00 FF:1.47 PID:0.22BRK_EN:DISMTR_EN:YES811 acc:1.52 inst:3.45 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:0.29 PID:0.62BRK_EN:DISMTR_EN:YES822 acc:1.73 inst:3.48 dt:11 timee:1000 pComp:0.04 iComp:0.00 dComp:-0.00 FF:0.70 PID:0.00BRK_EN:DISMTR_EN:YES831 acc:1.73 inst:3.51 dt:9 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:0.07 PID:0.39BRK_EN:DISMTR_EN:YES840 acc:1.73 inst:3.54 dt:9 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:0.46 PID:0.79BRK_EN:DISMTR_EN:YES850 acc:1.68 inst:3.57 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:0.86 PID:1.72BRK_EN:DISMTR_EN:YESNO_BISECT[1.51]859 acc:1.68 inst:3.59 dt:9 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.51 PID:1.84BRK_EN:DISMTR_EN:YESNO_BISECT[1.52]871 acc:1.61 inst:3.63 dt:12 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.52 PID:2.45BRK_EN:DISMTR_EN:YESNO_BISECT[1.52]881 acc:1.61 inst:3.65 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.52 PID:1.85BRK_EN:DISMTR_EN:YESNO_BISECT[1.53]891 acc:1.67 inst:3.68 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:-0.00 FF:1.53 PID:1.21BRK_EN:DISMTR_EN:YES902 acc:1.67 inst:3.72 dt:11 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.28 PID:1.61BRK_EN:DISMTR_EN:YESNO_BISECT[1.54]912 acc:1.67 inst:3.74 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.54 PID:1.87BRK_EN:DISMTR_EN:YESNO_BISECT[1.55]923 acc:1.87 inst:3.78 dt:11 timee:1000 pComp:0.04 iComp:0.00 dComp:-0.00 FF:1.55 PID:0.10BRK_EN:DISMTR_EN:YES933 acc:1.87 inst:3.81 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:0.18 PID:0.51BRK_EN:DISMTR_EN:YES942 acc:1.85 inst:3.83 dt:9 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:0.59 PID:1.11BRK_EN:DISMTR_EN:YES953 acc:1.85 inst:3.86 dt:11 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.18 PID:1.51BRK_EN:DISMTR_EN:YES962 acc:1.85 inst:3.89 dt:9 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.53 PID:1.86BRK_EN:DISMTR_EN:YESNO_BISECT[1.58]972 acc:1.82 inst:3.92 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.58 PID:2.25BRK_EN:DISMTR_EN:YESNO_BISECT[1.58]982 acc:1.82 inst:3.95 dt:10 timee:1000 pComp:0.04 iComp:0.00 dComp:0.00 FF:1.58 PID:1.92BRK_EN:DISMTR_EN:YESNO_BISECT[1.59]994 acc:1.94 inst:3.98 dt:12 timee:1000 pComp:0.04 iComp:0.00 dComp:-0.00 FF:1.59 PID:0.89BRK_EN:DISMTR_EN:YESDOWNSLOPE1004 x:-1.61 y:0.05 z:1.08 acc:1.94 inst:4.00 dt:10
DOWNSLOPE1009 x:-1.61 y:0.05 z:1.08 acc:1.94 inst:3.99 dt:5
DOWNSLOPE1014 x:-1.61 y:0.04 z:1.23 acc:2.02 inst:3.99 dt:5
DOWNSLOPE1019 x:-1.61 y:0.04 z:1.23 acc:2.02 inst:3.99 dt:5
DOWNSLOPE1024 x:-1.61 y:0.04 z:1.23 acc:2.02 inst:3.98 dt:5
DOWNSLOPE1029 x:-1.61 y:0.04 z:1.23 acc:2.02 inst:3.98 dt:5
DOWNSLOPE1035 x:-1.61 y:0.04 z:1.23 acc:2.02 inst:3.98 dt:6
DOWNSLOPE1041 x:-1.68 y:-0.04 z:1.15 acc:2.03 inst:3.97 dt:6
DOWNSLOPE1046 x:-1.68 y:-0.04 z:1.15 acc:2.03 inst:3.97 dt:5
