C:\Users\User\Documents\Arduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.00V
0.00RPM, avgRPM, 0.000.0
