1612.50RPM, 1566.96avgRPM, 122222.50 sum, 78.00 points, 0.00V
1512.50RPM, 1566.27avgRPM, 123735.00 sum, 79.00 points, 0.00V
1390.00RPM, 1564.06avgRPM, 125125.00 sum, 80.00 points, 0.00V
1270.00RPM, 1560.43avgRPM, 126395.00 sum, 81.00 points, 0.00V
1170.00RPM, 1555.67avgRPM, 127565.00 sum, 82.00 points, 0.00V
1075.00RPM, 1549.88avgRPM, 128640.00 sum, 83.00 points, 0.00V
950.00RPM, 1542.74avgRPM, 129590.00 sum, 84.00 points, 0.00V
755.00RPM, 1533.47avgRPM, 130345.00 sum, 85.00 points, 0.00V
572.50RPM, 1522.30avgRPM, 130917.50 sum, 86.00 points, 0.00V
392.50RPM, 1509.31avgRPM, 131310.00 sum, 87.00 points, 0.00V
230.00RPM, 1494.77avgRPM, 131540.00 sum, 88.00 points, 0.00V
75.00RPM, 1478.82avgRPM, 131615.00 sum, 89.00 points, 0.00V
0.00RPM, 1462.39avgRPM, 131615.00 sum, 90.00 points, 0.00V
0.00RPM, 1446.32avgRPM, 131615.00 sum, 91.00 points, 0.00V
0.00RPM, 1430.60avgRPM, 131615.00 sum, 92.00 points, 0.00V
0.00RPM, 1415.22avgRPM, 131615.00 sum, 93.00 points, 0.00V
0.00RPM, 1400.16avgRPM, 131615.00 sum, 94.00 points, 0.00V
0.00RPM, 1385.42avgRPM, 131615.00 sum, 95.00 points, 0.00V
0.00RPM, 1370.99avgRPM, 131615.00 sum, 96.00 points, 0.00V
