C:\Users\User\Documents\Arduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	2.22


0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
0.00RPM, 0.00avgRPM, 0.00V
