2525.00RPM, 1269.37avgRPM, 2.22V MTR_ENA NOT BRAKING
2555.00RPM, 1276.68avgRPM, 2.22V MTR_ENA NOT BRAKING
2520.00RPM, 1283.70avgRPM, 2.22V MTR_ENA NOT BRAKING
2530.00RPM, 1290.70avgRPM, 2.22V MTR_ENA NOT BRAKING
2515.00RPM, 1297.54avgRPM, 2.22V MTR_ENA NOT BRAKING
2350.00RPM, 1303.39avgRPM, 0.00V MTR_ENA NOT BRAKING
2300.00RPM, 1308.90avgRPM, 0.00V MTR_ENA NOT BRAKING
2115.00RPM, 1313.32avgRPM, 0.00V MTR_ENA NOT BRAKING
1945.00RPM, 1316.78avgRPM, 0.00V MTR_ENA NOT BRAKING
1800.00RPM, 1319.40avgRPM, 0.00V MTR_ENA NOT BRAKING
1670.00RPM, 1321.30avgRPM, 0.00V MTR_DIS NOT BRAKING
1550.00RPM, 1322.53avgRPM, 0.00V MTR_DIS NOT BRAKING
1445.00RPM, 1323.18avgRPM, 0.00V MTR_DIS NOT BRAKING
1340.00RPM, 1323.27avgRPM, 0.00V MTR_DIS NOT BRAKING
1255.00RPM, 1322.91avgRPM, 0.00V MTR_DIS NOT BRAKING
1165.00RPM, 1322.08avgRPM, 0.00V MTR_DIS NOT BRAKING
1090.00RPM, 1320.86avgRPM, 0.00V MTR_DIS NOT BRAKING
1010.00RPM, 1319.24avgRPM, 0.00V MTR_DIS NOT BRAKING
945.00RPM, 1317.31avgRPM, 0.00V MTR_DIS NOT BRAKING
875.00RPM, 1315.03avgRPM, 0.00V MTR_DIS NOT BRAKING
815.00RPM, 1312.46avgRPM, 0.00V MTR_DIS NOT BRAKING
755.00RPM, 1309.62avgRPM, 0.00V MTR_DIS NOT BRAKING
700.00RPM, 1306.52avgRPM, 0.00V MTR_DIS NOT BRAKING
645.00RPM, 1303.18avgRPM, 0.00V MTR_DIS NOT BRAKING
590.00RPM, 590.00avgRPM, 0.00V MTR_DIS NOT BRAKING
