0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
��0�0.�0.20.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 0.00avgRPM, 0.00V MTR_ENA NOT BRAKING
340.00RPM, 1.50avgRPM, 0.56V MTR_ENA NOT BRAKING
455.00RPM, 3.50avgRPM, 0.56V MTR_ENA NOT BRAKING
590.00RPM, 6.07avgRPM, 0.56V MTR_ENA NOT BRAKING
470.00RPM, 8.10avgRPM, 0.00V MTR_ENA NOT BRAKING
535.00RPM, 10.39avgRPM, 0.00V MTR_ENA NOT BRAKING
490.00RPM, 12.47avgRPM, 0.00V MTR_ENA NOT BRAKING
445.00RPM, 14.33avgRPM, 0.00V MTR_ENA NOT BRAKING
400.00RPM, 15.99avgRPM, 0.00V MTR_ENA NOT BRAKING
355.00RPM, 17.44avgRPM, 0.00V MTR_ENA NOT BRAKING
320.00RPM, 18.72avgRPM, 0.00V MTR_ENA NOT BRAKING
275.00RPM, 19.81avgRPM, 0.00V MTR_ENA NOT BRAKING
240.00RPM, 20.74avgRPM, 0.00V MTR_ENA NOT BRAKING
205.00RPM, 21.51avgRPM, 0.00V MTR_ENA NOT BRAKING
170.00RPM, 22.13avgRPM, 0.00V MTR_ENA NOT BRAKING
135.00RPM, 22.60avgRPM, 0.00V MTR_ENA NOT BRAKING
105.00RPM, 22.95avgRPM, 0.00V MTR_ENA NOT BRAKING
75.00RPM, 23.16avgRPM, 0.00V MTR_ENA NOT BRAKING
45.00RPM, 23.25avgRPM, 0.00V MTR_ENA NOT BRAKING
20.00RPM, 23.24avgRPM, 0.00V MTR_ENA NOT BRAKING
5.00RPM, 23.16avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 23.07avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.98avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.88avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.79avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.70avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.61avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.52avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.43avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.34avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.25avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.17avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.08avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 22.00avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.91avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.83avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.74avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.66avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.58avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.50avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.42avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.33avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.25avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.18avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.10avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 21.02avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.94avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.86avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.79avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.71avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.64avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.56avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.49avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.41avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.34avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.27avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.20avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.12avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 20.05avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 19.98avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 19.91avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 19.84avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 19.77avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 19.70avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 19.64avgRPM, 0.00V MTR_ENA NOT BRAKING
0.00RPM, 19.57avgRPM, 0.00V MTR_ENA NOT BRAKING
