Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[nan]0 acc:1.09 inst:0.00 dt:0 pComp:-0.02 iComp:0.00 dComp:inf FF:nan PID:nan BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]4 acc:1.09 inst:1.00 dt:4 pComp:-0.00 iComp:-0.00 dComp:0.25 FF:0.07 PID:0.32 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]13 acc:1.09 inst:1.01 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
23 acc:1.09 inst:1.01 dt:10 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS  dt:8 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
50 acc:1.09 inst:1.02 dt:9 pComp:-0.00 iComp:-0.00 dComComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.MTR_EN:YES
33 acc:1.09 inst:1.01 dt:10 p07 BRK_EN:DIS MTR_EN:YES
41 acc:1.09 inst:1.02p:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
59 acc:1.09 inst:1.02 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
69 acc:1.09 inst:1.03 dt:10 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
78 acc:1.10 inst:1.03 dt:9 pComp:-0.00 iComp:-0.00 dComp:-0.00 FF:0.07 PID:0.06 BRK_EN:DIS MTR_EN:YES
87 acc:1.10 inst:1.03 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.06 PID:0.06 BRK_EN:DIS MTR_EN:YES
95 acc:1.10 inst:1.04 dt:8 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.06 PID:0.06 BRK_EN:DIS MTR_EN:YES
106 acc:1.07 inst:1.04 dt:11 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.06 PID:0.06 BRK_EN:DIS MTR_EN:YES
115 acc:1.07 inst:1.05 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.06 PID:0.06 BRK_EN:DIS MTR_EN:YES
124 acc:1.06 inst:1.05 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.06 PID:0.07 BRK_EN:DIS MTR_EN:YES
133 acc:1.06 inst:1.05 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
142 acc:1.06 inst:1.06 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
151 acc:1.05 inst:1.06 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
160 acc:1.05 inst:1.06 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
169 acc:1.05 inst:1.07 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]178 acc:1.04 inst:1.07 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]187 acc:1.04 inst:1.07 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]198 acc:1.04 inst:1.08 dt:11 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]207 acc:1.04 inst:1.08 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]216 acc:1.04 inst:1.09 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]226 acc:1.07 inst:1.09 dt:10 pComp:0.00 iComp:-0.00 dComp:-0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
236 acc:1.07 inst:1.09 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
245 acc:1.09 inst:1.10 dt:9 pComp:0.00 iComp:-0.00 dComp:-0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
254 acc:1.09 inst:1.10 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
263 acc:1.09 inst:1.11 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
272 acc:1.05 inst:1.11 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]282 acc:1.05 inst:1.11 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]291 acc:1.05 inst:1.12 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]301 acc:1.05 inst:1.12 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
