Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[nan]0 acc:1.09 inst:0.00 dt:0 pComp:-0.02 iComp:0.00 dComp:inf FF:nan PID:nan BRK_EN:DIS MTR_EN:YES
NO_BS[0.49]4 acc:1.09 inst:1.00 dt:4 pComp:-0.00 iComp:-0.00 dComp:0.25 FF:0.49 PID:0.74 BRK_EN:DIS MTR_EN:YES
NO_BS[0.49]15 acc:1.09 inst:1.01 dt:11 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.49 PID:0.49 BRK_EN:DIS MTR_EN:YES
24 acc:1.08 inst:1.01 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.49 PID:0.49 BRK_EN:DIS MTR_EN:YES
33 acc:1.08 inst:1.01 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.50 PID:0.49 BRK_EN:DIS MTR_EN:YES
42 acc:1.08 inst:1.02 dt:9 pComp:-0.00 iComp:-0.00 dComp:-0.00 FF:0.50 PID:0.49 BRK_EN:DIS MTR_EN:YES
51 acc:1.08 inst:1.02 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.50 PID:0.49 BRK_EN:DIS MTR_EN:YES
60 acc:1.08 inst:1.02 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.50 PID:0.50 BRK_EN:DIS MTR_EN:YES
69 acc:0.88 inst:1.03 dt:9 pComp:0.00 iComp:-0.00 dComp:0.02 FF:0.50 PID:0.52 BRK_EN:DIS MTR_EN:YES
NO_BS[0.50]77 acc:0.88 inst:1.03 dt:8 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.50 PID:0.50 BRK_EN:DIS MTR_EN:YES
NO_BS[0.50]87 acc:0.88 inst:1.03 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.50 PID:0.50 BRK_EN:DIS MTR_EN:YES
NO_BS[0.50]97 acc:0.82 inst:1.04 dt:10 pComp:0.00 iComp:-0.00 dComp:0.01 FF:0.50 PID:0.51 BRK_EN:DIS MTR_EN:YES
NO_BS[0.50]106 acc:0.82 inst:1.04 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.50 PID:0.51 BRK_EN:DIS MTR_EN:YES
NO_BS[0.50]116 acc:0.97 inst:1.05 dt:10 pComp:0.00 iComp:0.00 dComp:-0.02 FF:0.50 PID:0.49 BRK_EN:DIS MTR_EN:YES
125 acc:0.97 inst:1.05 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.49 PID:0.50 BRK_EN:DIS MTR_EN:YES
135 acc:0.97 inst:1.05 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.50 PID:0.50 BRK_EN:DIS MTR_EN:YES
144 acc:1.17 inst:1.06 dt:9 pComp:-0.00 iComp:0.00 dComp:-0.02 FF:0.50 PID:0.48 BRK_EN:DIS MTR_EN:YES
153 acc:1.17 inst:1.06 dt:9 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.48 PID:0.48 BRK_EN:DIS MTR_EN:YES
162 acc:1.09 inst:1.06 dt:9 pComp:-0.00 iComp:0.00 dComp:0.01 FF:0.49 PID:0.50 BRK_EN:DIS MTR_EN:YES
171 acc:1.09 inst:1.07 dt:9 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.50 PID:0.50 BRK_EN:DIS MTR_EN:YES
181 acc:1.09 inst:1.07 dt:10 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.50 PID:0.50 BRK_EN:DIS MTR_EN:YES
190 acc:1.04 inst:1.08 dt:9 pComp:0.00 iComp:0.00 dComp:0.01 FF:0.50 PID:0.51 BRK_EN:DIS MTR_EN:YES
199 acc:1.04 inst:1.08 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.51 PID:0.51 BRK_EN:DIS MTR_EN:YES
NO_BS[0.51]207 acc:1.04 inst:1.08 dt:8 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.51 PID:0.51 BRK_EN:DIS MTR_EN:YES
NO_BS[0.51]217 acc:1.11 inst:1.09 dt:10 pComp:-0.00 iComp:0.00 dComp:-0.01 FF:0.51 PID:0.51 BRK_EN:DIS MTR_EN:YES
227 acc:1.11 inst:1.09 dt:10 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.51 PID:0.51 BRK_EN:DIS MTR_EN:YES
236 acc:1.09 inst:1.09 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.51 PID:0.51 BRK_EN:DIS MTR_EN:YES
245 acc:1.09 inst:1.10 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.52 PID:0.52 BRK_EN:DIS MTR_EN:YES
254 acc:1.09 inst:1.10 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.52 PID:0.52 BRK_EN:DIS MTR_EN:YES
264 acc:1.25 inst:1.11 dt:10 pComp:-0.00 iComp:0.00 dComp:-0.02 FF:0.52 PID:0.50 BRK_EN:DIS MTR_EN:YES
273 acc:1.25 inst:1.11 dt:9 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.50 PID:0.50 BRK_EN:DIS MTR_EN:YES
281 acc:1.25 inst:1.11 dt:8 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.51 PID:0.50 BRK_EN:DIS MTR_EN:YES
291 acc:1.33 inst:1.12 dt:10 pComp:-0.00 iComp:-0.00 dComp:-0.01 FF:0.51 PID:0.50 BRK_EN:DIS MTR_EN:YES
300 acc:1.33 inst:1.12 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.50 PID:0.50 BRK_EN:DIS MTR_EN:YES
310 acc:1.20 inst:1.12 dt:10 pComp:-0.00 iComp:-0.00 dComp:0.01 FF:0.50 PID:0.51 BRK_EN:DIS MTR_EN:YES
319 acc:1.20 inst:1.13 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.52 PID:0.52 BRK_EN:DIS MTR_EN:YES
328 acc:1.20 inst:1.13 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.52 PID:0.52 BRK_EN:DIS MTR_EN:YES
337 acc:1.07 inst:1.13 dt:9 pComp:0.00 iComp:-0.00 dComp:0.02 FF:0.52 PID:0.54 BRK_EN:DIS MTR_EN:YES
NO_BS[0.53]346 acc:1.07 inst:1.14 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
NO_BS[0.53]356 acc:1.11 inst:1.14 dt:10 pComp:0.00 iComp:-0.00 dComp:-0.00 FF:0.53 PID:0.52 BRK_EN:DIS MTR_EN:YES
366 acc:1.11 inst:1.15 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
374 acc:1.11 inst:1.15 dt:8 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
384 acc:1.09 inst:1.15 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
NO_BS[0.53]393 acc:1.09 inst:1.16 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
NO_BS[0.53]403 acc:1.09 inst:1.16 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
NO_BS[0.53]412 acc:1.18 inst:1.16 dt:9 pComp:-0.00 iComp:-0.00 dComp:-0.01 FF:0.53 PID:0.52 BRK_EN:DIS MTR_EN:YES
422 acc:1.18 inst:1.17 dt:10 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
431 acc:1.33 inst:1.17 dt:9 pComp:-0.00 iComp:-0.00 dComp:-0.02 FF:0.53 PID:0.51 BRK_EN:DIS MTR_EN:YES
441 acc:1.33 inst:1.18 dt:10 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.52 PID:0.51 BRK_EN:DIS MTR_EN:YES
450 acc:1.33 inst:1.18 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.52 PID:0.51 BRK_EN:DIS MTR_EN:YES
459 acc:1.24 inst:1.18 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.01 FF:0.52 PID:0.53 BRK_EN:DIS MTR_EN:YES
468 acc:1.24 inst:1.19 dt:9 pComp:-0.00 iComp:-0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
478 acc:1.16 inst:1.19 dt:10 pComp:0.00 iComp:-0.00 dComp:0.01 FF:0.53 PID:0.54 BRK_EN:DIS MTR_EN:YES
NO_BS[0.54]487 acc:1.16 inst:1.19 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.54 PID:0.54 BRK_EN:DIS MTR_EN:YES
NO_BS[0.54]497 acc:1.16 inst:1.20 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.54 PID:0.54 BRK_EN:DIS MTR_EN:YES
NO_BS[0.54]506 acc:1.20 inst:1.20 dt:9 pComp:-0.00 iComp:-0.00 dComp:-0.00 FF:0.54 PID:0.54 BRK_EN:DIS MTR_EN:YES
516 acc:1.20 inst:1.21 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.54 PID:0.54 BRK_EN:DIS MTR_EN:YES
