80000ms, 625.00RPM, 199.28avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.88] y[0.09] z[1.05] mag[1.38]80500ms, 650.00RPM, 202.08avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.84] y[0.06] z[1.16] mag[1.43]81000ms, 640.00RPM, 204.78avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.86] y[0.28] z[1.14] mag[1.46]81500ms, 635.00RPM, 207.42avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.91] y[0.08] z[1.26] mag[1.55]82000ms, 630.00RPM, 210.00avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.83] y[0.02] z[1.21] mag[1.47]82500ms, 620.00RPM, 212.48avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.84] y[0.14] z[1.03] mag[1.34]83000ms, 640.00RPM, 215.06avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.87] y[0.13] z[1.16] mag[1.46]83500ms, 660.00RPM, 217.72avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.88] y[0.06] z[1.07] mag[1.39]84000ms, 615.00RPM, 220.09avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.91] y[0.14] z[1.08] mag[1.42]84500ms, 630.00RPM, 222.51avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.87] y[0.01] z[1.11] mag[1.41]85000ms, 660.00RPM, 225.09avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.90] y[0.15] z[1.11] mag[1.43]85500ms, 640.00RPM, 227.51avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.80] y[0.15] z[1.09] mag[1.36]86000ms, 650.00RPM, 229.97avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.89] y[0.09] z[1.14] mag[1.45]86500ms, 630.00RPM, 232.28avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.92] y[0.07] z[1.12] mag[1.45]87000ms, 640.00RPM, 234.63avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.85] y[0.13] z[1.14] mag[1.43]87500ms, 480.00RPM, 236.03avgRPM, 0.56V MTR_DIS NOT BRAKING
