Finished setup, waiting to start, PID: p:0.20 i(x100):0 d(x10):0.00 iCap:15
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
slopeinfrpm-3.17natural G0.04
slope0.00rpmnannatural Gnan
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
11	1.12	1.00	0.47
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
42	1.12	1.02	0.47
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
74	1.09	1.03	0.47
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
105	1.11	1.04	0.47
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
136	1.09	1.05	0.47
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
168	1.06	1.07	0.47
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63nape0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
197	1.05	1.08	0.47
tural G0.05
slope0.00rpm23.63natural G0.05
slo3natural G0.05
slope0.00rpm23.63natural G0.05
pe0.00rpm23.63natural G0.05
slope0.00rpm23.63naslope0.00rpm23.63natural G0.05
slope0.00rpm23.6slope0.00rpm23.63natural G0.05
slope0.00rpm23.6tural G0.05
slope0.00rpm23.63natural G0.05
slo3natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
slope0.00rpm23.63natural G0.05
