C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.05] y[0.35] z[1.05] mag[1.11] 7.35 degrees
1021ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.40] z[1.05] mag[1.13] 8.08 degrees
1500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.36] z[1.05] mag[1.12] 8.45 degrees
2000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.05] mag[1.12] 8.23 degrees
2500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.35] z[1.04] mag[1.10] 7.36 degrees
3000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.05] y[0.37] z[1.04] mag[1.11] 7.00 degrees
3500ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.04] y[0.29] z[1.07] mag[1.11] 9.04 degrees
4000ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.05] mag[1.11] 8.20 degrees
4500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.05] y[0.37] z[1.03] mag[1.10] 6.01 degrees
5000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.37] z[1.09] mag[1.15] 11.38 degrees
5500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.05] mag[1.11] 8.94 degrees
6000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.35] z[1.03] mag[1.08] 5.40 degrees
6500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.40] z[1.06] mag[1.13] 8.79 degrees
7000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.35] z[1.05] mag[1.10] 7.53 degrees
7500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.35] z[1.04] mag[1.09] 6.91 degrees
8000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.05] y[0.36] z[1.07] mag[1.13] 9.09 degrees
8500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.39] z[1.04] mag[1.11] 7.10 degrees
9000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.37] z[1.05] mag[1.11] 8.35 degrees
9500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.35] z[1.04] mag[1.09] 6.53 degrees
10000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.34] z[1.08] mag[1.13] 10.52 degrees
10500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.04] mag[1.11] 7.05 degrees
11000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.02] y[0.38] z[1.05] mag[1.12] 8.59 degrees
11500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.38] z[1.06] mag[1.12] 8.56 degrees
12000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.39] z[1.04] mag[1.11] 7.51 degrees
12500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.04] y[0.38] z[1.04] mag[1.11] 6.73 degrees
13000ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.05] mag[1.11] 8.31 degrees
13500ms, 0.00RPM, 0.00avgRPM, 0.56V MTR_DIS YES BRAKINGx[0.03] y[0.39] z[1.04] mag[1.11] 7.46 degrees
