74500ms, 1780.00RPM, 973.56avgRPM, 1.67V MTR_ENA NOT BRAKINGx[0.09] y[2.01] z[9.68] mag[9.88] 83.51 degrees
75000ms, 1775.00RPM, 978.90avgRPM, 1.67V MTR_ENA NOT BRAKINGx[0.22] y[2.04] z[9.56] mag[9.77] 82.66 degrees
75500ms, 1795.00RPM, 984.30avgRPM, 1.67V MTR_ENA NOT BRAKINGx[0.31] y[1.79] z[9.48] mag[9.65] 82.06 degrees
76000ms, 1770.00RPM, 989.47avgRPM, 1.67V MTR_ENA NOT BRAKINGx[0.21] y[1.84] z[9.68] mag[9.86] 82.86 degrees
76500ms, 1810.00RPM, 994.84avgRPM, 1.67V MTR_ENA NOT BRAKINGx[-0.00] y[2.22] z[9.60] mag[9.86] 84.05 degrees
77000ms, 1645.00RPM, 999.06avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.13] y[1.83] z[9.14] mag[9.33] 82.89 degrees
77500ms, 1685.00RPM, 1003.48avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.19] y[1.84] z[8.77] mag[8.96] 82.24 degrees
78000ms, 1655.00RPM, 1007.66avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.14] y[1.72] z[8.30] mag[8.48] 82.10 degrees
78500ms, 1610.00RPM, 1011.50avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.23] y[1.58] z[7.77] mag[7.93] 80.94 degrees
79000ms, 1555.00RPM, 1014.94avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.13] y[1.46] z[7.38] mag[7.52] 81.19 degrees
79500ms, 1510.00RPM, 1018.05avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.17] y[1.35] z[6.99] mag[7.12] 80.42 degrees
80000ms, 1465.00RPM, 1020.84avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.15] y[1.27] z[6.62] mag[6.75] 80.00 degrees
80500ms, 1425.00RPM, 1023.35avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.14] y[1.26] z[6.20] mag[6.32] 79.38 degrees
81000ms, 1380.00RPM, 1025.56avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.25] y[1.23] z[5.85] mag[5.98] 77.71 degrees
81500ms, 1345.00RPM, 1027.52avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.10] y[1.14] z[5.54] mag[5.65] 78.59 degrees
82000ms, 1305.00RPM, 1029.21avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.14] y[1.12] z[5.35] mag[5.47] 77.71 degrees
82500ms, 1270.00RPM, 1030.67avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.13] y[1.04] z[5.03] mag[5.14] 77.09 degrees
83000ms, 1235.00RPM, 1031.90avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.04] y[1.00] z[4.85] mag[4.95] 77.65 degrees
83500ms, 1200.00RPM, 1032.90avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.18] y[0.98] z[4.43] mag[4.54] 74.67 degrees
84000ms, 1170.00RPM, 1033.72avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.10] y[0.88] z[4.26] mag[4.35] 75.13 degrees
84500ms, 1140.00RPM, 1034.35avgRPM, 1.67V MTR_DIS NOT BRAKINGx[0.09] y[0.93] z[4.06] mag[4.17] 74.55 degrees
