C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


1017ms, 5.00RPM, 5.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.40] z[1.04] mag[1.12] 5.49 degrees
1021ms, 0.00RPM, 2.50avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.37] z[1.04] mag[1.11] 5.83 degrees
1500ms, 0.00RPM, 1.67avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.04] mag[1.10] 6.27 degrees
2000ms, 0.00RPM, 1.25avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.00] y[0.36] z[1.04] mag[1.10] 5.71 degrees
2500ms, 0.00RPM, 1.00avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.01] y[0.39] z[1.04] mag[1.11] 4.67 degrees
3000ms, 0.00RPM, 0.83avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.00] y[0.37] z[1.05] mag[1.12] 7.15 degrees
3500ms, 0.00RPM, 0.71avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.38] z[1.05] mag[1.11] 6.20 degrees
4000ms, 0.00RPM, 0.63avgRPM, 0.00V MTR_DIS YES BRAKINGx[-0.01] y[0.35] z[1.05] mag[1.10] 6.83 degrees
4500ms, 0.00RPM, 0.56avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.00] y[0.35] z[1.09] mag[1.14] 11.00 degrees
5000ms, 0.00RPM, 0.50avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.35] z[1.07] mag[1.12] 8.80 degrees
5500ms, 0.00RPM, 0.45avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.00] y[0.39] z[1.06] mag[1.13] 7.39 degrees
6000ms, 0.00RPM, 0.42avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.34] z[1.05] mag[1.10] 6.65 degrees
6500ms, 0.00RPM, 0.38avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.36] z[1.05] mag[1.11] 7.06 degrees
7000ms, 0.00RPM, 0.36avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.02] y[0.39] z[1.04] mag[1.11] 5.37 degrees
7500ms, 0.00RPM, 0.33avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.01] y[0.33] z[1.06] mag[1.11] 8.04 degrees
8000ms, 0.00RPM, 0.31avgRPM, 0.00V MTR_DIS YES BRAKINGx[0.03] y[0.40] z[1.08] mag[1.15] 9.60 degrees
8500ms, 0.00RPM, 0.29avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.01] y[0.38] z[1.06] mag[1.13] 8.14 degrees
9000ms, 0.00RPM, 0.28avgRPM, 0.00V MTR_ENA NOT BRAKINGx[-0.03] y[0.30] z[1.04] mag[1.09] 6.47 degrees
9500ms, 0.00RPM, 0.26avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.03] y[0.36] z[1.04] mag[1.10] 4.94 degrees
10000ms, 0.00RPM, 0.25avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.04] y[0.34] z[1.04] mag[1.09] 5.20 degrees
10500ms, 0.00RPM, 0.24avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.03] y[0.34] z[1.06] mag[1.11] 8.37 degrees
11000ms, 0.00RPM, 0.23avgRPM, 0.00V MTR_ENA NOT BRAKINGx[-0.01] y[0.32] z[1.09] mag[1.13] 11.44 degrees
11500ms, 0.00RPM, 0.22avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.01] y[0.38] z[1.05] mag[1.11] 6.20 degrees
12000ms, 0.00RPM, 0.21avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.02] y[0.34] z[1.04] mag[1.10] 5.94 degrees
12500ms, 0.00RPM, 0.20avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.01] y[0.37] z[1.05] mag[1.12] 6.70 degrees
13000ms, 0.00RPM, 0.19avgRPM, 0.00V MTR_ENA NOT BRAKINGx[-0.00] y[0.35] z[1.05] mag[1.11] 7.44 degrees
13500ms, 0.00RPM, 0.19avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.03] y[0.34] z[1.05] mag[1.10] 6.97 degrees
14000ms, 0.00RPM, 0.18avgRPM, 0.00V MTR_ENA NOT BRAKINGx[0.03] y[0.34] z[1.05] mag[1.11] 7.15 degrees
