C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


x[-0.01] y[0.31] z[1.05] mag[1.10] 1019ms, 5.00RPM, 5.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.31] z[1.04] mag[1.09] 1022ms, 0.00RPM, 2.50avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.34] z[1.06] mag[1.11] 1501ms, 0.00RPM, 1.67avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.02] y[0.31] z[1.05] mag[1.09] 2001ms, 0.00RPM, 1.25avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.04] y[0.36] z[1.06] mag[1.12] 2501ms, 0.00RPM, 1.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.03] y[0.35] z[1.05] mag[1.11] 3001ms, 0.00RPM, 0.83avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.02] y[0.34] z[1.05] mag[1.11] 3501ms, 0.00RPM, 0.71avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.35] z[1.05] mag[1.10] 4001ms, 0.00RPM, 0.63avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.02] y[0.31] z[1.03] mag[1.08] 4501ms, 0.00RPM, 0.56avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.01] y[0.33] z[1.05] mag[1.10] 5001ms, 0.00RPM, 0.50avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.03] y[0.34] z[1.04] mag[1.10] 5501ms, 0.00RPM, 0.45avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.33] z[1.06] mag[1.11] 6001ms, 0.00RPM, 0.42avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.27] z[1.08] mag[1.12] 6501ms, 0.00RPM, 0.38avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.02] y[0.36] z[1.05] mag[1.11] 7001ms, 0.00RPM, 0.36avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.34] z[1.05] mag[1.10] 7501ms, 0.00RPM, 0.33avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.03] y[0.37] z[1.04] mag[1.11] 8001ms, 0.00RPM, 0.31avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.02] y[0.35] z[1.06] mag[1.11] 8501ms, 0.00RPM, 0.29avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.35] z[1.04] mag[1.10] 9001ms, 0.00RPM, 0.28avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.03] y[0.30] z[1.04] mag[1.08] 9501ms, 0.00RPM, 0.26avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.03] y[0.24] z[1.04] mag[1.07] 10001ms, 0.00RPM, 0.25avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.34] z[1.05] mag[1.10] 10501ms, 0.00RPM, 0.24avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.35] z[1.04] mag[1.10] 11001ms, 0.00RPM, 0.23avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.37] z[1.04] mag[1.11] 11501ms, 0.00RPM, 0.22avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.32] z[1.09] mag[1.13] 12001ms, 0.00RPM, 0.21avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.35] z[1.05] mag[1.10] 12502ms, 0.00RPM, 0.20avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.32] z[1.04] mag[1.09] 13001ms, 0.00RPM, 0.19avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.02] y[0.35] z[1.08] mag[1.13] 13501ms, 0.00RPM, 0.19avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.01] y[0.36] z[1.05] mag[1.11] 14001ms, 0.00RPM, 0.18avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.02] y[0.35] z[1.04] mag[1.10] 14501ms, 0.00RPM, 0.17avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.01] y[0.27] z[1.06] mag[1.10] 15001ms, 0.00RPM, 0.17avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.01] y[0.33] z[1.06] mag[1.11] 15501ms, 0.00RPM, 0.16avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.31] z[1.04] mag[1.08] 16001ms, 0.00RPM, 0.16avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.37] z[1.07] mag[1.13] 16501ms, 0.00RPM, 0.15avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.03] y[0.38] z[1.04] mag[1.11] 17001ms, 0.00RPM, 0.15avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.04] y[0.33] z[1.05] mag[1.10] 17501ms, 0.00RPM, 0.14avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.39] z[1.08] mag[1.15] 18001ms, 0.00RPM, 0.14avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.35] z[1.06] mag[1.11] 18501ms, 0.00RPM, 0.14avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.34] z[1.05] mag[1.11] 19001ms, 0.00RPM, 0.13avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.37] z[1.06] mag[1.12] 19501ms, 0.00RPM, 0.13avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.32] z[1.04] mag[1.09] 20001ms, 0.00RPM, 0.13avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.00] y[0.33] z[1.05] mag[1.10] 20501ms, 0.00RPM, 0.12avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.35] z[1.05] mag[1.11] 21001ms, 0.00RPM, 0.12avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.35] z[1.04] mag[1.10] 21501ms, 0.00RPM, 0.12avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.03] y[0.34] z[1.05] mag[1.10] 22001ms, 0.00RPM, 0.11avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.01] y[0.34] z[1.05] mag[1.10] 22501ms, 0.00RPM, 0.11avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.26] z[1.10] mag[1.13] 23001ms, 0.00RPM, 0.11avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.05] y[0.28] z[1.08] mag[1.12] 23501ms, 0.00RPM, 0.11avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.02] y[0.37] z[1.04] mag[1.10] 24001ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS YES BRAKING
x[-0.00] y[0.34] z[1.05] mag[1.10] 24501ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.01] y[0.32] z[1.07] mag[1.11] 25001ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.34] z[1.07] mag[1.12] 25501ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.33] z[1.02] mag[1.07] 26001ms, 0.00RPM, 0.10avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.36] z[1.05] mag[1.11] 26501ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.29] z[1.09] mag[1.13] 27001ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.06] y[0.36] z[1.03] mag[1.09] 27501ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.01] y[0.34] z[1.06] mag[1.12] 28001ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.02] y[0.34] z[1.06] mag[1.11] 28502ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.01] y[0.33] z[1.05] mag[1.10] 29001ms, 0.00RPM, 0.09avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.02] y[0.34] z[1.05] mag[1.10] 29501ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[-0.01] y[0.32] z[1.06] mag[1.11] 30001ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[-0.01] y[0.33] z[1.05] mag[1.10] 30501ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[-0.02] y[0.36] z[1.07] mag[1.13] 31001ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[-0.00] y[0.33] z[1.07] mag[1.12] 31501ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.03] y[0.38] z[1.05] mag[1.11] 32001ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.01] y[0.35] z[1.05] mag[1.11] 32501ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.02] y[0.35] z[1.04] mag[1.10] 33001ms, 0.00RPM, 0.08avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.36] z[1.04] mag[1.11] 33501ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.01] y[0.36] z[1.04] mag[1.10] 34001ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.01] y[0.36] z[1.06] mag[1.12] 34501ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.02] y[0.34] z[1.03] mag[1.09] 35001ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[-0.01] y[0.34] z[1.06] mag[1.11] 35501ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.03] y[0.37] z[1.05] mag[1.12] 36001ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.01] y[0.33] z[1.07] mag[1.12] 36501ms, 0.00RPM, 0.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[-0.04] y[0.36] z[1.07] mag[1.13] 37001ms, 30.00RPM, 0.47avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.09] y[0.37] z[1.12] mag[1.18] 37501ms, 400.00RPM, 5.80avgRPM, 0.56V MTR_ENA NOT BRAKING
x[-0.12] y[0.33] z[0.91] mag[0.98] 38001ms, 345.00RPM, 10.26avgRPM, 0.56V MTR_ENA NOT BRAKING
