0	6.00	1.50
10805	5.80	6.00	1.50
10818	5.81	6.00	1.48
10829	5.81	6.00	1.48
10840	5.89	6.00	1.37
10851	5.89	6.00	1.37
10863	5.92	6.00	1.32
10874	5.92	6.00	1.32
10884	5.92	6.00	nan
10896	5.90	6.00	nan
10907	5.90	6.00	1.34
10919	5.77	6.00	1.54
10930	5.77	6.00	1.54
10942	5.79	6.00	1.51
10953	5.79	6.00	1.51
10964	5.78	6.00	nan
10975	5.78	6.00	1.52
10988	5.81	6.00	1.49
10999	5.81	6.00	1.49
11010	5.86	6.00	nan
11021	5.86	6.00	1.40
11033	5.90	6.00	1.35
11044	5.90	6.00	1.35
11055	5.90	6.00	1.35
11068	5.85	6.00	1.43
11087	5.87	6.00	1.39
11098	5.87	6.00	1.39
11110	5.93	6.00	nan
11121	5.93	6.00	1.30
11146	6.04	6.00	1.06
11199	5.98	6.00	1.23
11210	5.97	6.00	nan
11221	5.97	6.00	1.24
11232	5.95	6.00	nan
11244	5.95	6.00	1.28
11256	5.85	6.00	1.42
11267	5.85	6.00	1.42
11278	5.91	6.00	nan
11289	5.91	6.00	1.34
11300	6.02	6.00	1.15
11335	5.98	6.00	1.23
11346	5.98	6.00	1.23
11357	5.96	6.00	1.26
11369	5.96	6.00	1.26
11417	5.98	6.00	1.23
11429	5.95	6.00	1.28
11440	5.95	6.00	1.28
11452	5.99	6.00	nan
11463	5.99	6.00	1.22
11474	5.93	6.00	nan
11484	5.93	6.00	1.31
11497	5.91	6.00	1.33
11507	5.91	6.00	nan
11518	5.90	6.00	1.35
11529	5.90	6.00	1.35
11541	5.90	6.00	1.35
11552	5.89	6.00	nan
11563	5.89	6.00	1.36
11575	5.77	6.00	1.54
11587	5.77	6.00	1.54
11598	5.77	6.00	1.55
11609	5.77	6.00	1.55
11621	5.76	6.00	nan
11632	5.76	6.00	1.56
11643	5.81	6.00	1.48
11654	5.81	6.00	1.48
11667	5.86	6.00	1.41
11678	5.86	6.00	1.41
11688	5.86	6.00	1.41
11699	5.76	6.00	1.56
11711	5.76	6.00	1.56
11723	5.81	6.00	1.48
11734	5.81	6.00	1.48
11746	5.87	6.00	1.40
11758	5.87	6.00	1.40
11769	5.86	6.00	1.41
11780	5.86	6.00	1.41
11792	5.85	6.00	nan
11803	5.85	6.00	1.43
