x[0.00] y[0.00] z[0.00] mag[0.00] 99001ms, 0.00RPM, 784.29avgRPM, 2.78V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 99501ms, 0.00RPM, 780.35avgRPM, 2.78V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 100001ms, 0.00RPM, 776.45avgRPM, 2.78V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 100501ms, 0.00RPM, 772.59avgRPM, 2.78V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 101001ms, 0.00RPM, 768.76avgRPM, 2.78V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 101501ms, 0.00RPM, 764.98avgRPM, 2.78V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 102001ms, 0.00RPM, 761.23avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 102501ms, 0.00RPM, 757.51avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 103001ms, 0.00RPM, 753.84avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 103501ms, 0.00RPM, 750.19avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 104001ms, 10.00RPM, 746.63avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 104501ms, 10.00RPM, 743.11avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 105001ms, 0.00RPM, 739.57avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 105501ms, 0.00RPM, 736.07avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 106001ms, 15.00RPM, 732.67avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 106501ms, 390.00RPM, 731.06avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 107001ms, 295.00RPM, 729.02avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 107501ms, 310.00RPM, 727.07avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 108001ms, 370.00RPM, 725.42avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 108502ms, 400.00RPM, 723.92avgRPM, 0.56V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 109001ms, 290.00RPM, 721.93avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 109501ms, 425.00RPM, 720.57avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 110001ms, 405.00RPM, 719.14avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 110501ms, 395.00RPM, 717.67avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 111001ms, 385.00RPM, 716.17avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 111501ms, 375.00RPM, 714.64avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 112001ms, 360.00RPM, 713.06avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 112501ms, 350.00RPM, 711.44avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 113001ms, 340.00RPM, 709.80avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 113501ms, 330.00RPM, 708.13avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 114001ms, 315.00RPM, 706.40avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 114501ms, 305.00RPM, 704.65avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 115001ms, 295.00RPM, 702.87avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 115501ms, 285.00RPM, 701.06avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 116001ms, 275.00RPM, 699.22avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 116501ms, 260.00RPM, 697.34avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 117001ms, 255.00RPM, 695.45avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 117501ms, 240.00RPM, 693.51avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 118001ms, 235.00RPM, 691.57avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 118501ms, 220.00RPM, 689.58avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 119001ms, 215.00RPM, 687.58avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 119501ms, 205.00RPM, 685.56avgRPM, 0.00V MTR_ENA NOT BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 120001ms, 195.00RPM, 683.52avgRPM, 0.00V MTR_ENA NOT BRAKING
